source,phrase,count
yahoo,lailia forest Serres,342000
yahoo,nigritas spa Serres,335000
yahoo,archaelogical site of amphipolis Serres,1890000
yahoo,amphipolis museum Serres,173000
yahoo,archaelogical museum Serres,2270000
yahoo,byzantine monasteries Serres,645000
yahoo,fort roupel Serres,394000
yahoo,amphipolis festival Serres,288000
yahoo,anastenaria Serres,1880
yahoo,halkidiki,751000
yahoo,athos mountain Halkidiki,235000
yahoo,xabrias Halkidiki,11000
yahoo,grove of Aristotle Halkidiki,249000
yahoo,petralona cave Halkidiki,30900
yahoo,ancient stagira Halkidiki,159000
yahoo,agios mamas church Halkidiki,47600
yahoo,poseidon temple Halkidiki,366000
yahoo,zeus temple Halkidiki,764000
yahoo,archaelogical site of olinthos Halkidiki,,43200
yahoo,agio oros Halkidiki,59000
yahoo,archaelogical museum poligiros Halkidiki,29900
yahoo,archaelogical museum petralona Halkidiki,48100
yahoo,festival of kassandra Halkidiki,129000
yahoo,sani festival Halkidiki,377000
google,imathia,2640000
google,saint Nikolas imathia,44500
google,bermio mountain imathia,13400
google,seli imathia,14900
google,3-5 pigadia imathia,14400
google,aliakmonas imathia,6040
google,ampelourgikes perioxes imathia,201
google,archaelogical site mieza imathia,5230
google,archaelogical site vergina imathia,72900
google,school of aristotelis imathia,83000
google,panagia soumela imathia,7330
google,byzantine churches imathia,69500
google,thessaloniki,27200000
google,lake volvi Thessaloniki,24200
google,volvi spa Thessaloniki,61800
google,lake koronia Thessaloniki,8700
google,lagadas spa Thessaloniki,14500
google,axios delta Thessaloniki,25900
google,white tower Thessaloniki,478000
google,rotonta Thessaloniki,244000
google,kamara Thessaloniki,86800
google,roman market Thessaloniki,1050000
google,genti koule Thessaloniki,48800
google,byzantine churches Thessaloniki,432000
google,musulman monument Thessaloniki,34500
google,archaelogical museum Thessaloniki,396000
google,museum of byzantine civilization Thessaloniki,255000
google,white tower museum Thessaloniki,596000
google,kilkis,2960000
google,paiko mountain Kilkis,6860
google,mpeles mountain Kilkis,2680
google,sierra kroussia  Kilkis,996
google,cave of saint George Kilkis,52000
google,pikrolimni Kilkis,31200
google,doirani lake Kilkis,9790
google,archaelogical site of palatianos Kilkis,186
google,ancient city of europos Kilkis,141000
google,monastery of saint nikodimos Kilkis,15400
google,monastery of holy mary goumenissa Kilkis,2070
google,Balkan botanic garden of kroussia Kilkis,1160
google,archaelogical museum Kilkis,16400
google,war museum Kilkis,5780
google,museum of first world war Kilkis,70000
google,pella,15300000
google,black forest Pella,2740000
google,a thousand trees Pella,1230000
google,kaimaktsalan Pella,52700
google,begoritida lake Pella,11500
google,agra lake Pella,2490000
google,edeseos river Pella,47400
google,loudias river Pella,4620
google,waterfalls of Eddesa,74500
google,pozar spa Pella,92600
google,ancient Pella,425000
google,archaelogical museum of Pella,139000
google,rowing center loudias river Pella,1520
google,horseback riding center Pella,185000
google,saint athanasios village Pella,72000
google,pieria,4700000
google,haliacmon Pieria,32100
google,olympus Pieria,205000
google,Pieria mountains Pieria,392000
google,delta of haliacmon Pieria,42000
google,ancient dion Pieria,88400
google,platamonas castle Pieria,30400
google,ancient pidna Pieria,3800
google,ancient leibithra Pieria,414
google,byzantine monuments Pieria,90600
google,Olympus festival Pieria,34000
google,folk festival Pieria,4690
google,serres,18000000
google,struma river Serres,8720
google,aggitis river Serres,4160
google,aggitis canyon Serres,7800
google,kerkini lake Serres,37800
google,alistrati cave Serres,10700
google,lailia forest Serres,218000
google,nigritas spa Serres,18700
google,archaelogical site of amphipolis Serres,41900
google,amphipolis museum Serres,20100
google,archaelogical museum Serres,108000
google,byzantine monasteries Serres,191000
google,fort roupel Serres,4280
google,amphipolis festival Serres,40300
google,anastenaria Serres,4210
google,halkidiki,4750000
google,athos mountain Halkidiki,418000
google,xabrias Halkidiki,1200
google,grove of Aristotle Halkidiki,24000
google,petralona cave Halkidiki,27200
google,ancient stagira Halkidiki,12400
google,agios mamas church Halkidiki,19200
google,poseidon temple Halkidiki,36100
google,zeus temple Halkidiki,34300
google,archaelogical site of olinthos Halkidiki,,42800
google,agio oros Halkidiki,108000
google,archaelogical museum poligiros Halkidiki,2940
google,archaelogical museum petralona Halkidiki,16000
google,festival of kassandra Halkidiki,34900
google,sani festival Halkidiki,89600
